Stock ID,Stock Name,Jurisdiction,FMP,Science Center,Regional Ecosystem,FSSI Stock?,ITIS Taxon Serial Number,Scientific Name,Common Name,Stock Area,Assessment ID,Assessment Year,Assessment Month,Last Data Year,Update Type,Review Result,B Year,Estimated B,B Unit,B Basis,Blimit,Blimit Basis,Bmsy,Bmsy Basis,B/Blimit,B/Bmsy,MSY,MSY Unit
15050,Cabezon - Northern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,692068,Scorpaenichthys marmoratus,Cabezon,Northern California,9344,2019,9,2018,,Full acceptance,2019,642.5999756,Metric Tons,Spawning Stock Biomass,246.6000061,SSB25%,394.5599976,SSB40%,2.605999947,1.628999949,116,Metric Tons
12193,Cabezon - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,692068,Scorpaenichthys marmoratus,Cabezon,Oregon,4103,2009,9,2008,Benchmark,Full acceptance,2009,214.3179932,mt (female biomass only),Spawning biomass,102.3079987,SPB25%,163.6920013,SPB40%,2.095000029,1.309000015,51,mt
12193,Cabezon - Oregon,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,692068,Scorpaenichthys marmoratus,Cabezon,Oregon,9022,2019,9,2018,,Full acceptance,2019,177,Metric Tons,Spawning Stock Biomass,83.75,SPB25%,134,SPB40%,2.112999916,1.32099998,46,Metric Tons
15051,Cabezon - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,692068,Scorpaenichthys marmoratus,Cabezon,Southern California,9343,2019,9,2018,,Full acceptance,2019,101,Metric Tons,Spawning biomass,51.14599991,SSB25%,81.83399963,SSB40%,1.975000024,1.233999968,17,Metric Tons
14803,Cabezon - Washington,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,692068,Scorpaenichthys marmoratus,Cabezon,Washington,7798,2017,11,2016,New,Full acceptance,,,,,,,,,,,,
14803,Cabezon - Washington,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,N,692068,Scorpaenichthys marmoratus,Cabezon,Washington,9023,2019,9,2018,,Full acceptance,,,,,,,,,,,,
14821,California Blue and Deacon Rockfish Complex,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,,,,,7661,2017,9,2016,New,Full acceptance,2017,812.4869995,millions of larvae,Female reproductive output,544.4199829,SPB25%,871.0720215,SPB40%,1.491999984,0.933000028,312.4609985,mt
14821,California Blue and Deacon Rockfish Complex,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,,,,,9443,2019,9,2018,,Full acceptance,2019,903,Million Eggs,Stock Reproductive Output,544.4199829,SPR25%,871.0720215,SPR40%,1.659000039,1.036999941,312,Metric Tons
10461,California scorpionfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166827,Scorpaena guttata,California scorpionfish,Southern California,439,2005,12,2004,New,Full acceptance,2005,816,mt,Spawning biomass,256,SPB25%,409.6000061,SPB40%,3.187999964,1.991999984,127,mt
10461,California scorpionfish - Southern California,PFMC,Pacific Coast Groundfish,NWFSC / SWFSC,California Current,Y,166827,Scorpaena guttata,California scorpionfish,Southern California,6431,2015,11,2014,Partial Update,Full acceptance,2015,708.3619995,mt,Spawning biomass,245.2649994,SSB25%,392.4240112,SSB40%,2.888000011,1.804999948,,
